;A1;A2;A3;A4;A5
Бийск;3079;350;237;13387141,9;699325
Дубна;12185,8;2118;505;34099640,89;9514712,36
Жуковский;10991;4416;0;25107027,69;1023257,1
Кольцово;3918;1399;22;11755329,2;890208
Королев;24374;7361;376;81483321,37;2453890,89
Мичуринск;6172,6;1270,7;357;6727603,9;167946,86
Обнинск;13074;2390;311;48247659;1458734
Протвино;2421;1056;72;4727861,2;217762,36
Пущино;2356,9;1177,7;118,6;3202433,895;116911,657
Реутов;4487;1747;66;45718426;1380101
Троицк;2745,5;1390;117;3242326,3;651277,8
Фрязино;10563;2158;132;43600847,7;3235225,72
Черноголовка;3787;1473,8;58;7156496,996;118726,183
