"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
"Бийск",1062.3,33958091.8,82.6666666666667,212128,306,28.6666666666667,57990,47436.6666666667,355,13482.75
"Дубна",1020.78,27320560.4,2542.66666666667,75113.6666666667,1221.66666666667,27.3333333333333,30260.6666666667,41948.3333333333,609.666666666667,10978.4
"Жуковский",8627.96666666667,33254217,151,108447.666666667,532,95.3333333333333,36395.6666666667,59564.3333333333,1875.33333333333,10783.4
"Кольцово",678.366666666667,9458929.68,59.3333333333333,16299,196.666666666667,15,7006.33333333333,8560.33333333333,165.666666666667,3256.32
"Королев",35367.7556666667,88438755.22,89.6666666666667,223094,992,127.333333333333,73251.6666666667,127543,2462.66666666667,26898.2
"Мичуринск",237.666666666667,4113125.33333333,45,93401,357.333333333333,13.6666666666667,20816,52102,321,6194
"Обнинск",5194,101603239,497.333333333333,114474.666666667,873.333333333333,80.3333333333333,47983.3333333333,63015.3333333333,869.666666666667,14523.8
"Протвино",5930.16666666667,13025680,445,36527,229.666666666667,5.33333333333333,11834.6666666667,19895.3333333333,155.333333333333,2559.8
"Пущино",162.050333333333,3172.556,511,21049.3333333333,722,9,5180,11304.6666666667,394.333333333333,2561.6
"Реутов",2400.28666666667,32208983,0,103576.666666667,73.6666666666667,45.6666666666667,28780.3333333333,62340.6666666667,806,4236.4
"Троицк",451.327666666667,5451783.4,1026.33333333333,59678.3333333333,687.333333333333,26.3333333333333,13942.3333333333,31659,295.333333333333,1989.6
"Фрязино",6706.83333333333,25200554.6,132.666666666667,60249.3333333333,296,32,21289.6666666667,33473.3333333333,101,9006.2
"Черноголовка",2687.6,8108764.62,1402.66666666667,23277.3333333333,942,23.6666666666667,9046,12926.6666666667,423,3684.16
