,p1,p2,p3,p4,p5,p6,city
"АО ""ГосМКБ Радуга""",32,13,98199.2,473440,36,14095541,Дубна
"АО ""ДМЗ им. Н.П. Федорова""",2,1,82205,50891,36,2315302.5,Дубна
АО ИФТП,3,4,18789,2798,9,139173,Дубна
АО НИИ Атолл,35,17,242207,60000,36,336847,Дубна
АО НПК Дедал,23,7,31240,246,0,786953,Дубна
АО НПО «Криптен»,12,10,98199.2,0,36,3639328.5,Дубна
АО ПЗ Тензор,15,8,98199.2,19540,36,1194293.5,Дубна
"ГБОУ ВО МО ""Дубна""",67,389,12647,13920.4,1229,63569.35,Дубна
ЗАО МПОТК «Технокомплект»,20.5,6,34909,63027.5,36,510316.75,Дубна
ЗАО НПЦ Аспект,6,6,88050,9299.5,0,1386480.7,Дубна
ОИЯИ,23,836,98199.2,3933388.05,902,4011801.95,Дубна
ООО «Компания «Контакт»,0,1,0,37.5,0,23802.5,Дубна
ООО НТИЦ «АпАТэК-Дубна»,13,7,98199.2,89.325,13,97052,Дубна
ООО НТП Дубна,4,2,0,0,36,6749.5,Дубна
ООО ПО «АпАТэК-Дубна»,7,1,1000,0,36,254912.5,Дубна
"АО ""НИИАО""",39,30,369372,2216,4,798084.5,Жуковский
"АО ""НИИП""",392,44,1570843,260338.5,36,4477691.5,Жуковский
"АО ""ЭМЗ имени В.М.Мясищева""",76,4,451896,13409.2,0,991251,Жуковский
АО «ЛИИ им. М.М. Громова»,51,73,1078616,520904,0,3226332.245,Жуковский
АО «МНИИ «Агат»,80,18,612399,37179.5,0,1947063.5,Жуковский
"АО ЦНТУ ""Динамика""",32,8,203097,199074.15,0,4505407.4,Жуковский
ЦАГИ им. проф. Н.Е. Жуковского,160,463,5131061,268772,123,7304690.9,Жуковский
"АО ""Центр финансовых технологий""",20.5,10,73123,49254,36,4714094,Кольцово
АО «Вектор-Бест»,15,42,75184,417518,10,3306696.5,Кольцово
АО «Вектор-БиАльгам»,20.5,2,875,55114.5,36,300554.5,Кольцово
ЗАО «Вектор-Медика»,0,5,0,8408.5,0,750975,Кольцово
"ФБУН ГНЦ ВБ ""Вектор""",115,135,599473.4,0,57,913616.13,Кольцово
АО «К «ТРВ»,112,36,527707,1283936,36,22650989,Королев
АО НПО ИТ,147,30,288764,13376.5,18,1404978.5,Королев
ЗАО ЗЭМ РКК «Энергия»,20.5,10,1468,366027.835,0,14172731.25,Королев
КБ химмаш им. A.M. Исаева» - филиала АО «ГКНПЦ им. М.В.Хруничева»,147,10,749398,145179.5,36,3099168.65,Королев
ОАО «Композит»,124,46,879251,135010,36,2670631.5,Королев
ООО «Технологии радиосвязи»,10,5,98199.2,0,36,202233.5,Королев
